StartingAngle,AngleThreshold,StartingRadius,FinalRadius,DecayConstant,TimeToEat,PerturbAngle,TriggerRadius,PerturbMagnitude
0,10,0.18,0.03,0.0003,5.0,45,0.00,0.20
90,10,0.18,0.03,0.0003,5.0,20,0.00,0.20
180,10,0.18,0.03,0.0003,5.0,10,0.080,0.20
270,10,0.18,0.03,0.0003,5.0,10,0.00,0.20
0,10,0.18,0.03,0.0003,5,-25,0.080,0.20
45,10,0.14,0.03,0.0003,5.0,25,0.080,0.20
135,10,0.18,0.03,0.0003,5.0,10,0.00,0.20
225,10,0.18,0.03,0.0003,5,30,0.080,0.20
315,10,0.14,0.03,0.0003,5.0,30,0.080,0.20
